GeneralFeedbackID,OneStar,TwoStar,ThreeStar,FourStar,FiveStar,ReviewCount,LastUpdated
19792205,0,0,0,0,1,1,2024-06-26 10:38:35.668313
19179222,0,0,0,0,5,5,2024-06-26 10:38:35.668313
19591230,0,0,0,0,5,5,2024-06-26 10:38:35.668313
19370074,0,0,0,0,5,5,2024-06-26 10:38:35.668313
19097557,0,0,0,0,5,5,2024-06-26 10:38:35.668313
19063111,0,0,0,0,5,5,2024-06-26 10:38:35.668313
18984424,0,0,0,0,1,1,2024-06-26 10:38:35.668313
7997021,0,0,0,0,1,1,2024-06-26 10:38:35.668313
15988315,0,0,0,1,7,8,2024-06-26 10:38:35.668313
17687510,0,0,0,1,7,8,2024-06-26 10:38:35.668313
17651506,0,0,0,1,7,8,2024-06-26 10:38:35.668313
17637442,0,0,0,1,7,8,2024-06-26 10:38:35.668313
15042669,0,0,0,1,7,8,2024-06-26 10:38:35.668313
15934240,0,0,0,1,7,8,2024-06-26 10:38:35.668313
15143644,0,0,0,1,7,8,2024-06-26 10:38:35.668313
14290381,0,0,0,1,7,8,2024-06-26 10:38:35.668313
14297497,0,0,0,2,19,21,2024-06-26 10:38:35.668313
15960268,0,0,0,2,19,21,2024-06-26 10:38:35.668313
15369414,0,0,0,2,19,21,2024-06-26 10:38:35.668313
14961122,0,0,0,2,19,21,2024-06-26 10:38:35.668313
17805689,0,0,0,2,19,21,2024-06-26 10:38:35.668313
15912960,0,0,0,2,19,21,2024-06-26 10:38:35.668313
17825369,0,0,0,2,19,21,2024-06-26 10:38:35.668313
17309270,0,0,0,2,19,21,2024-06-26 10:38:35.668313
16933124,0,0,0,2,19,21,2024-06-26 10:38:35.668313
16728550,0,0,0,2,19,21,2024-06-26 10:38:35.668313
14235954,0,0,0,2,19,21,2024-06-26 10:38:35.668313
16101372,0,0,0,2,19,21,2024-06-26 10:38:35.668313
16041599,0,0,0,2,19,21,2024-06-26 10:38:35.668313
15701404,0,0,0,2,19,21,2024-06-26 10:38:35.668313
15165354,0,0,0,2,19,21,2024-06-26 10:38:35.668313
14792191,0,0,0,2,19,21,2024-06-26 10:38:35.668313
