Title,Rating,Image URL
"JETech Case for iPhone 12 Pro Max 6.7-Inch, Non-Yellowing Shockproof Phone Bumper Cover, Anti-Scratch Clear Back (Clear)",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61fiNGjsYUL.__AC_SX300_SY300_QL70_ML2_.jpg
OTTERBOX COMMUTER SERIES Case for iPhone 12 Pro Max - BESPOKE WAY (BLAZER BLUE/STORMY SEAS BLUE),4.6 out of 5 stars,https://m.media-amazon.com/images/I/51lsw+n0i+L._AC_SY300_SX300_.jpg
OtterBox Defender Series Screenless Edition Case for iPhone 13 Pro Max & iPhone 12 Pro Max (Only) - Case Only - Microbial Defense Protection - Non-Retail Packaging - Black,4.7 out of 5 stars,https://m.media-amazon.com/images/I/71gXfbUfufL.__AC_SX300_SY300_QL70_ML2_.jpg
"OtterBox iPhone 13 Pro Max & iPhone 12 Pro Max Symmetry Series Case - BLACK, ultra-sleek, wireless charging compatible, raised edges protect camera & screen",4.5 out of 5 stars,https://m.media-amazon.com/images/I/618F7K4RldL.__AC_SX300_SY300_QL70_ML2_.jpg
"OtterBox iPhone 13 Pro Max and iPhone 12 Pro Max Symmetry Series+ Case - Clear , ultra-sleek, snaps to MagSafe, raised edges protect camera & screen",4.5 out of 5 stars,https://m.media-amazon.com/images/I/6173ZpI--QL.__AC_SX300_SY300_QL70_ML2_.jpg
"OtterBox iPhone 13 Pro Max & iPhone 12 Pro Max Commuter Series Case - ROCK SKIP WAY, slim & tough, pocket-friendly, with port protection, 7.09 x 4.33 x 0.83 inches",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61kQg2ARtNL.__AC_SX300_SY300_QL70_ML2_.jpg
"SAMSUNG Galaxy S24 Ultra Cell Phone, 512GB AI Smartphone, Unlocked Android, 50MP Zoom Camera, Long Battery Life, S Pen, US Version, 2024, Titanium Yellow",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71ZoDT7a2wL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox SYMMETRY CLEAR SERIES Case for iPhone 12 Pro Max - STARDUST (SILVER FLAKE/CLEAR),4.5 out of 5 stars,https://m.media-amazon.com/images/I/61Cg7OVY11L.__AC_SX300_SY300_QL70_ML2_.jpg
"Motorola Think Phone | 2023 | Unlocked | Made for US 8/256GB | 50MP Camera | Volcanic Gray, 6.6 inches",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61U3J32ttyL.__AC_SX300_SY300_QL70_ML2_.jpg
"DJI Osmo Mobile 6, 3-Axis Phone Gimbal, Object Tracking, Built-in Extension Rod, Portable and Foldable, Android and iPhone Gimbal, Vlogging Stabilizer, YouTube TikTok Video, Platinum Gray",4.6 out of 5 stars,https://m.media-amazon.com/images/I/51tM13khkIL.__AC_SX300_SY300_QL70_ML2_.jpg
"OTOFLY for iPhone 12 Pro Max Case, Military-Grade Protection, Shockproof Silicone, Anti-Fingerprint & Anti-Slip, Phone Case for iPhone 12 Pro Max, Fluorescent Yellow",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61+Kvv3-47L._AC_SY300_SX300_.jpg
OtterBox DEFENDER SERIES XT SCREENLESS EDITION Case for iPhone 12 Pro Max - BLACK,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51tmRfNTFkL.__AC_SX300_SY300_QL70_ML2_.jpg
"PopSockets iPhone 12 Pro Max Case with Phone Grip and Slide Compatible with Magsafe, Phone Case for iPhone 12 Pro Max, Wireless Charging Compatible - Black",4.2 out of 5 stars,https://m.media-amazon.com/images/I/41U9iHtuK0L.__AC_SX300_SY300_QL70_ML2_.jpg
"Wireless Car Charger, CHGeek 15W Qi Fast Auto Clamping Car Charger Phone Mount Windshield Air Vent Phone Holder for iPhone 14 13 12 Mini Pro Max 11 Xs, Samsung Galaxy S22+ S21 S10+ Note 20",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71qLRg58VoL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox SYMMETRY SERIES Case for iPhone 12 Pro Max - CAKE POP (ORCHID/ROSEBUD),4.6 out of 5 stars,https://m.media-amazon.com/images/I/51HQsltUJQL.__AC_SX300_SY300_QL70_ML2_.jpg
Spigen Ultra Hybrid Designed for iPhone 12 Pro Max Case (2020) - Navy Blue,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61eivltvyFL.__AC_SX300_SY300_QL70_ML2_.jpg
iOttie Velox Pro MagSafe Compatible Dash & Windshield Car Mount with Wireless Charging & CryoFlow™ Cooling System. Compatible with MagSafe iPhones Including iPhone 12/13/14/15 (Car Charger Included),3.7 out of 5 stars,https://m.media-amazon.com/images/I/61DavGI6RLL.__AC_SX300_SY300_QL70_ML2_.jpg
"USB C Cable, INIU (2-Pack 6.6ft) 100W PD 5A QC 4.0 Fast Charging USB C to USB C Cable, Nylon Braided Type C Data USB-C Cable for Samsung Galaxy S20+ S10 Note 10 iPad Pro MacBook Tablets LG Google etc.",4.7 out of 5 stars,https://m.media-amazon.com/images/I/814+BTS-INL._AC_SY300_SX300_.jpg
Spigen Ultra Hybrid Designed for iPhone 12 Pro Max Case (2020) - Navy Blue,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61eivltvyFL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox Defender Series Case for iPhone 12 & iPhone 12 Pro (Only) - Holster Clip Included - Microbial Defense Protection - Non-Retail Packaging - Baby Blue Jeans (Blue),4.7 out of 5 stars,https://m.media-amazon.com/images/I/71V99OG8pEL.__AC_SX300_SY300_QL70_ML2_.jpg
"Speck Clear iPhone 13 Pro Max Case - Slim, Drop Protection - for iPhone 13 Pro Max & iPhone 12 Pro Max - Scratch Resistant, Anti-Yellowing, Anti-Fade 6.7 Inch Phone Case - GemShell Clear",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61TCfxGMqDL.__AC_SX300_SY300_QL70_ML2_.jpg
OtterBox Defender Series Case for iPhone 12 & iPhone 12 Pro (Only) - Case Only - Microbial Defense Protection - Non-Retail Packaging - Mountain Majesty (Purple),4.7 out of 5 stars,https://m.media-amazon.com/images/I/7164x9Dzo2L.__AC_SX300_SY300_QL70_ML2_.jpg
Apple iPhone 15 Pro Max Clear Case with MagSafe ​​​​​​​,4.4 out of 5 stars,https://m.media-amazon.com/images/I/410gWbZgGcL.__AC_SY445_SX342_QL70_ML2_.jpg
"Artisticases Custom Tort Tortoiseshell Initials Name Case, Personalized Name Case, Designed ‎for iPhone 15 Plus, iPhone 14 Pro Max, iPhone 13 Mini, iPhone 12, 11, X/XS Max, ‎XR, 7/8‎",4.0 out of 5 stars,https://m.media-amazon.com/images/I/6154Cb3zhcL.__AC_SX300_SY300_QL70_ML2_.jpg
"OtterBox iPhone 13 Pro Max & iPhone 12 Pro Max Defender Series Case - HUNTER GREEN, rugged & durable, with port protection, includes holster clip kickstand",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71D708DsaUL.__AC_SX300_SY300_QL70_ML2_.jpg
"ORIbox for iPhone 13 Pro Max/12 Pro Max Case Blue, [10 FT Military Grade Drop Protection], Transparent Heavy Duty Shockproof Anti-Fall Case for iPhone 13/12 Pro Max,6.7 inch,3 in 1, Crystal Blue",4.4 out of 5 stars,https://m.media-amazon.com/images/I/81ZyFdLYuBL.__AC_SX300_SY300_QL70_ML2_.jpg
"Case-Mate iPhone 12 Pro Max Case - Twinkle Ombre Gold With 10ft Drop Protection & Wireless Charging - Luxury Bling Glitter Case for iPhone 12 Pro Max - Anti Scratch, Shock Absorbing Materials",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61MN1IFv+5L._AC_SY300_SX300_.jpg
OtterBox Defender Series Replacement Belt Clip Holster for iPhone 13 PRO MAX & iPhone 12 PRO MAX (ONLY) Black,4.3 out of 5 stars,https://m.media-amazon.com/images/I/510an5jpbIL.__AC_SX300_SY300_QL70_ML2_.jpg
