CategoryID,MasterCategoryID,Name
623.0,320,Art & Photography
27.0,320,Biographies & Memoirs
4.0,320,Business & Economics
614.0,320,How-to - Self Help
7.0,320,Children's Books
282.0,320,Dictionary
5308.0,320,Education - Teaching
9.0,320,Fiction - Literature
6445.0,320,Magazines
218.0,320,Medical Books
28.0,320,Parenting & Relationships
5309.0,320,Reference
269.0,320,Science - Technology
632.0,320,"History, Politics & Social Sciences"
32.0,320,Travel & Holiday
21.0,320,"Cookbooks, Food & Wine"
839.0,316,Sách văn học
846.0,316,Sách kinh tế
393.0,316,Sách thiếu nhi 
870.0,316,Sách kỹ năng sống
2527.0,316,Nuôi dạy con
2321.0,316,Sách Giáo Khoa - Giáo Trình
887.0,316,Sách Học Ngoại Ngữ
2320.0,316,Sách Tham Khảo
897.0,316,Từ Điển
873.0,316,Sách Kiến Thức Tổng Hợp
879.0,316,Sách Khoa Học - Kỹ Thuật
880.0,316,Sách Lịch sử
881.0,316,Điện Ảnh - Nhạc - Họa
1084.0,316,"Truyện Tranh, Manga, Comic"
861.0,316,Sách Tôn Giáo - Tâm Linh
857.0,316,Sách Văn Hóa - Địa Lý - Du Lịch
875.0,316,Sách Chính Trị - Pháp Lý
882.0,316,Sách Nông - Lâm - Ngư Nghiệp
876.0,316,Sách Công Nghệ Thông Tin
885.0,316,Sách Y Học
1468.0,316,Tạp Chí - Catalogue
868.0,316,Sách Tâm lý - Giới tính
862.0,316,Sách Thường Thức - Gia Đình
6905.0,316,Thể Dục - Thể Thao
1862.0,7741,Dụng Cụ Văn Phòng
1858.0,7741,Bút - Viết các loại
2538.0,7741,Bút Chì Màu - Bút Lông Màu - Sáp Màu
2365.0,7741,Dụng Cụ Học Sinh
1910.0,7741,Flashcards
1899.0,7741,Sổ Tay Các Loại
1907.0,7741,Tập vở các loại 
2333.0,7741,Văn Hóa Phẩm
6210.0,7741,Thiết Bị Giáo Dục Trường Học
5674.0,7741,Balo Học Sinh - Cặp học sinh
2452.0,7741,Máy Tính Điện Tử
3892.0,7741,Lịch
16458.0,7741,Bút Kỹ Thuật
2368.0,7741,Sản phẩm về giấy
18398.0,7741,Thiết bị văn phòng
18378.0,7741,Phấn - Bảng viết - Lau bảng
4624.0,18328,Thú Nhồi Bông
6225.0,18328,Bookmark
6541.0,18328,Bưu ảnh - Postcard
18330.0,18328,Quà tặng trang sức
8264.0,18328,Album
18332.0,18328,Mô hình trang trí
18334.0,18328,Sticker - Decal trang trí
6246.0,18328,Ly - Cốc
6226.0,18328,Kẹp Ảnh Gỗ
18346.0,18328,Hộp quà
6215.0,18328,Tượng
8265.0,18328,Móc Khóa
6212.0,18328,Đồng Hồ Cát
6213.0,18328,Quả Cầu Tuyết
6214.0,18328,Hộp Nhạc
18342.0,18328,Phụ kiện - Vật liệu trang trí
18344.0,18328,Quà tặng trang trí khác
25706.0,18328,Gương mini
68202.0,18328,Khung hình
68205.0,18328,Thiệp
68208.0,18328,Túi Quà
1934.0,1951,Ấm nước các loại
23128.0,1951,Dụng cụ chứa đựng thực phẩm
8319.0,1951,"Dao, kéo và phụ kiện"
5433.0,1951,Dụng cụ làm bánh
6305.0,1951,Kệ nhà bếp
11808.0,1951,"Bếp nướng, vỉ nướng"
1986.0,1951,Phụ kiện nhà bếp
53052.0,1951,Nồi và chảo
68034.0,1951,Bộ hộp cơm và phụ kiện
23132.0,1951,Thùng đựng gạo
6963.0,1954,"Bình nước, bình giữ nhiệt & Phụ kiện"
2014.0,1954,"Bình lọc, lõi lọc, thiết bị lọc nước"
3990.0,1954,"Bình, ly uống trà và phụ kiện"
23304.0,1954,"Bình, ly uống cà phê và phụ kiện"
3177.0,1954,"Ly, cốc & phụ kiện ly"
3179.0,1954,"Đũa, muỗng, nĩa"
23322.0,1954,Dụng cụ pha chế
3180.0,1954,Phụ kiện phòng ăn
3178.0,1954,"Tô, chén, dĩa"
23282.0,1954,Bình đựng nước
23346.0,8313,"Bộ ga, ra, drap"
23352.0,8313,"Chăn, mền và phụ kiện"
6724.0,8313,"Gối, ruột gối, vỏ gối"
6723.0,8313,Nệm và phụ kiện
8314.0,8313,Phụ kiện phòng ngủ
23570.0,2150,Nội thất phòng khách
23598.0,2150,Nội thất phòng ngủ
23636.0,2150,Nội thất phòng ăn
23654.0,2150,"Nội thất phòng học, làm việc"
23662.0,2150,Nội thất trẻ em
23678.0,2150,Nội thất khác
3710.0,1973,Decal & giấy dán tường
23778.0,1973,Decal & giấy dán kính
1980.0,1973,Đồng hồ
11222.0,1973,Tranh trang trí
23806.0,1973,Trang trí nhà cửa khác
5848.0,1973,Vật phẩm phong thủy
2018.0,2015,Đèn pin
2019.0,2015,Đèn ngủ
23236.0,2015,Đèn ngoài trời
23238.0,2015,Đèn trần
23242.0,2015,Đèn cảm ứng
23246.0,2015,Đèn khác
2020.0,2015,Đèn diệt côn trùng
23802.0,2015,"Đèn xông tinh dầu, tinh dầu và phụ kiện"
5995.0,2223,"Áo mưa, ô dù và phụ kiện đi mưa"
3879.0,2223,Dụng cụ làm vườn
8316.0,2223,Máy xịt rửa và phụ kiện
23422.0,2223,Ngoại thất sân vườn
23434.0,2223,Bể bơi và phụ kiện
23446.0,2223,Dụng cụ ngoài trời khác
2685.0,1966,Khăn
2339.0,1966,Phụ kiện nhà tắm
23258.0,1966,Kệ nhà tắm
23264.0,1966,Thiết bị phòng tắm
23044.0,1966,Phụ kiện giặt ủi
23018.0,1966,Dụng cụ vệ sinh
4452.0,1974,Bảo hộ lao động
12984.0,1974,Xe đẩy hàng
12986.0,1974,"Sơn, dầu mỡ, hóa chất"
2759.0,1974,Bộ dụng cụ đa năng
12980.0,1974,"Đá cắt, que hàn, cưa & lưỡi cưa"
2327.0,1974,Thang nhôm
2760.0,1974,Dụng cụ sửa chữa nhà cửa
27188.0,1974,Thiết bị đo lường
2806.0,1974,"Thùng đồ nghề, túi công cụ"
23450.0,10068,Đàn piano
23462.0,10068,Amply
