SubCategoryID,CategoryID,Name,isSubCategory
1795.0,1795.0,Điện thoại Smartphone,0
1794.0,1794.0,Máy tính bảng,0
28856.0,28856.0,Máy đọc sách,0
1796.0,1796.0,Điện thoại phổ thông,0
8061.0,8061.0,Điện thoại bàn,0
29010.0,29010.0,Laptop Truyền Thống,0
2458.0,2458.0,Macbook,0
5584.0,5584.0,Laptop Gaming,0
29008.0,29008.0,Laptop 2 trong 1,0
29012.0,29012.0,Chromebooks,0
28932.0,2665.0,Màn Hình Phổ Thông,1
12672.0,2665.0,Màn Hình Gaming,1
28934.0,2665.0,Màn Hình Di Động,1
28930.0,2665.0,Màn Hình Đồ Họa,1
6556.0,2308.0,Máy In Laser,1
6561.0,2308.0,Máy In Phun,1
8089.0,2308.0,Máy In Ảnh,1
28936.0,2308.0,"Máy In Nhãn, Hóa Đơn",1
28938.0,2308.0,Máy In Kim,1
8087.0,2308.0,Máy Photocopy,1
28940.0,2308.0,Linh Kiện và Phụ Kiện Máy In,1
6255.0,6255.0,Phần Mềm Máy Tính,0
28942.0,4532.0,Mực In Màu,1
28944.0,4532.0,Drums và Toner Cho Máy In Laser,1
4542.0,4542.0,Máy Scan Tài Liệu,0
28946.0,8086.0,Nhãn In,1
28948.0,8086.0,Giấy In Hóa Đơn - Giấy In Tem,1
28950.0,8086.0,Giấy In Ảnh,1
28952.0,2664.0,Máy chiếu,1
28960.0,2664.0,Phụ kiện máy chiếu,1
29002.0,2664.0,Màn hình ghép - Màn hình LED,1
30020.0,30020.0,Máy Scan Mã Vạch,0
10089.0,10089.0,Máy Hủy Tài Liệu,0
12886.0,12886.0,Máy Chấm Công,0
8088.0,8088.0,Máy Fax,0
29006.0,29006.0,Máy Đếm Tiền,0
12890.0,12890.0,Thiết Bị Truyền Thông Hội Nghị,0
4051.0,28844.0,Ổ Cứng HDD,1
2146.0,28844.0,Ổ Cứng SSD,1
28840.0,1827.0,Ổ Cứng SSD Di Động,1
28842.0,1827.0,Ổ Cứng HDD Di Động,1
5350.0,5350.0,Case Ổ Cứng- Hộp Đựng HDD Box - Dock Ổ Cứng,0
5349.0,5349.0,Thiết Bị Lưu Trữ Qua Mạng NAS,0
1828.0,1828.0,USB,0
28838.0,28838.0,Đĩa Trắng - Băng Cuộn,0
4316.0,13150.0,Access Point - Điểm Truy Cập,1
4293.0,13150.0,Router Wifi,1
4294.0,13150.0,USB Wifi,1
4343.0,4343.0,Bộ Kích Sóng Wifi,0
4345.0,4345.0,Bộ Phát Wifi Di Động 3G/4G - Mifi,0
4454.0,4454.0,Bộ Chia Mạng - Switch,0
4642.0,4642.0,Phụ Kiện Thiết Bị Mạng,0
28894.0,28894.0,Bộ Chuyển Đổi - Transceivers,0
4346.0,4346.0,Mở Rộng Mạng Qua Đường Điện - Powerline Ethernet,0
7361.0,7361.0,Card Mạng,0
28896.0,28896.0,Ăng-Ten Mạng,0
4585.0,4585.0,Modem ADSL,0
8094.0,8094.0,Máy Tính All in one,0
7369.0,7369.0,Mini PC,0
67081.0,5172.0,PC Gaming,1
29014.0,29014.0,Towers - Máy Chủ - Server,0
29016.0,29016.0,Máy Tính Bộ Thương Hiệu,0
28900.0,28900.0,Nguồn Máy Tính,0
11964.0,11964.0,Bộ Lưu Điện - UPS,0
11956.0,11956.0,Mainboard - Board Mạch Chủ,0
11962.0,11962.0,Bộ Vi Xử Lý CPU,0
11960.0,11960.0,Vỏ Case - Thùng Máy,0
28904.0,28902.0,Quạt Tản Nhiệt,1
28906.0,28902.0,Keo - Pad Tản Nhiệt,1
11958.0,11958.0,Card Màn Hình - VGA,0
11966.0,11966.0,Sound Card - Card Âm Thanh,0
2679.0,2680.0,RAM Laptop,1
12298.0,2680.0,RAM Desktop,1
28908.0,28908.0,Ổ Đĩa Quang,0
28910.0,28910.0,I/O Port Cards,0
28914.0,28914.0,Thiết Bị Streaming và Capture Cards,0
28916.0,28916.0,KVM Switches - Switch HDMI,0
11968.0,11968.0,Linh Kiện Máy Tính Khác,0
28920.0,28918.0,Adapter Sạc Laptop,1
28922.0,28918.0,Bàn Phím Thay Thế Laptop,1
28924.0,28918.0,Pin Thay Thế Laptop,1
28926.0,28918.0,Linh Kiện Thay Thế Laptop Khác,1
