InventoryID,ProductID,Status,Type,LastUpdated
1,184036446,available,instock,2024-05-15 16:32:22.231970
2,184059211,available,instock,2024-05-15 16:32:22.231970
3,123345348,available,instock,2024-05-15 16:32:22.231970
4,197214029,available,instock,2024-05-15 16:32:22.231970
5,271966786,available,instock,2024-05-15 16:32:22.231970
6,197214015,available,instock,2024-05-15 16:32:22.231970
7,271973414,available,instock,2024-05-15 16:32:22.231970
8,271967379,available,instock,2024-05-15 16:32:22.231970
9,271972435,available,instock,2024-05-15 16:32:22.231970
10,183330021,available,instock,2024-05-15 16:32:22.231970
11,184253251,available,instock,2024-05-15 16:32:22.231970
12,205815576,available,instock,2024-05-15 16:32:22.231970
13,124742926,available,backorder,2024-05-15 16:32:22.231970
14,273556624,available,backorder,2024-05-15 16:32:22.231970
15,274798915,available,instock,2024-05-15 16:32:22.231970
