InventoryID,ProductID,Status,Type,LastUpdated
1,189572223,available,backorder,2024-05-15 21:52:56.796016
2,189572199,available,backorder,2024-05-15 21:52:56.796016
3,263753733,available,backorder,2024-05-15 21:52:56.796016
4,273513557,available,backorder,2024-05-15 21:52:56.796016
5,272354928,available,backorder,2024-05-15 21:52:56.796016
6,272828018,available,backorder,2024-05-15 21:52:56.796016
7,252566338,available,backorder,2024-05-15 21:52:56.796016
8,252566514,available,backorder,2024-05-15 21:52:56.796016
9,270958179,available,backorder,2024-05-15 21:52:56.796016
10,273524532,available,backorder,2024-05-15 21:52:56.796016
11,273513559,available,backorder,2024-05-15 21:52:56.796016
12,222529881,available,backorder,2024-05-15 21:52:56.796016
13,225195503,available,backorder,2024-05-15 21:52:56.796016
14,272828266,available,backorder,2024-05-15 21:52:56.796016
15,225195387,available,backorder,2024-05-15 21:52:56.796016
16,273698446,available,backorder,2024-05-15 21:52:56.796016
17,273472177,available,backorder,2024-05-15 21:52:56.796016
18,272177760,available,backorder,2024-05-15 21:52:56.796016
19,274016468,available,backorder,2024-05-15 21:52:56.796016
20,274368447,available,backorder,2024-05-15 21:52:56.796016
21,273949286,available,backorder,2024-05-15 21:52:56.796016
22,273716533,available,backorder,2024-05-15 21:52:56.796016
23,273472091,available,backorder,2024-05-15 21:52:56.796016
24,247656002,available,backorder,2024-05-15 21:52:56.796016
25,272837816,available,backorder,2024-05-15 21:52:56.796016
26,160445997,available,backorder,2024-05-15 21:52:56.796016
27,272177964,available,backorder,2024-05-15 21:52:56.796016
28,247719163,available,backorder,2024-05-15 21:52:56.796016
29,272178565,available,backorder,2024-05-15 21:52:56.796016
30,274792349,available,backorder,2024-05-15 21:52:56.796016
31,274935091,available,backorder,2024-05-15 21:52:56.796016
32,274958665,available,backorder,2024-05-15 21:52:56.796016
33,274791956,available,backorder,2024-05-15 21:52:56.796016
34,274016489,available,backorder,2024-05-15 21:52:56.796016
35,274934516,available,backorder,2024-05-15 21:52:56.796016
36,273506176,available,backorder,2024-05-15 21:52:56.796016
37,274992907,available,backorder,2024-05-15 21:52:56.796016
38,274956099,available,backorder,2024-05-15 21:52:56.796016
39,274643985,available,backorder,2024-05-15 21:52:56.796016
40,158222541,available,backorder,2024-05-15 21:52:56.796016
41,263575487,available,backorder,2024-05-15 21:52:56.796016
42,274499417,available,backorder,2024-05-15 21:52:56.796016
43,274052520,available,backorder,2024-05-15 21:52:56.796016
44,270849806,available,backorder,2024-05-15 21:52:56.796016
45,273603553,available,backorder,2024-05-15 21:52:56.796016
46,193513631,available,backorder,2024-05-15 21:52:56.796016
47,252387297,available,backorder,2024-05-15 21:52:56.796016
48,205698763,available,backorder,2024-05-15 21:52:56.796016
49,157468943,available,backorder,2024-05-15 21:52:56.796016
50,177813851,available,backorder,2024-05-15 21:52:56.796016
51,222662600,available,backorder,2024-05-15 21:52:56.796016
52,220677323,available,backorder,2024-05-15 21:52:56.796016
53,273947683,available,backorder,2024-05-15 21:52:56.796016
54,272392885,available,backorder,2024-05-15 21:52:56.796016
55,19606283,available,backorder,2024-05-15 21:52:56.796016
56,274877316,available,backorder,2024-05-15 21:52:56.796016
57,273604740,available,backorder,2024-05-15 21:52:56.796016
58,262822431,available,backorder,2024-05-15 21:52:56.796016
59,111954198,available,backorder,2024-05-15 21:52:56.796016
60,272587446,available,backorder,2024-05-15 21:52:56.796016
61,220683274,available,backorder,2024-05-15 21:52:56.796016
62,143183383,available,backorder,2024-05-15 21:52:56.796016
63,274090985,available,backorder,2024-05-15 21:52:56.796016
64,222662899,available,backorder,2024-05-15 21:52:56.796016
65,270954207,available,backorder,2024-05-15 21:52:56.796016
66,143144589,available,backorder,2024-05-15 21:52:56.796016
67,270458462,available,backorder,2024-05-15 21:52:56.796016
68,220670406,available,backorder,2024-05-15 21:52:56.796016
69,247754766,available,backorder,2024-05-15 21:52:56.796016
70,70052318,available,backorder,2024-05-15 21:52:56.796016
71,220684346,available,backorder,2024-05-15 21:52:56.796016
72,270458103,available,backorder,2024-05-15 21:52:56.796016
73,220753749,available,backorder,2024-05-15 21:52:56.796016
74,199242727,available,backorder,2024-05-15 21:52:56.796016
75,197418115,available,backorder,2024-05-15 21:52:56.796016
76,212992227,available,backorder,2024-05-15 21:52:56.796016
77,220679413,available,backorder,2024-05-15 21:52:56.796016
78,192674407,available,backorder,2024-05-15 21:52:56.796016
79,183514058,available,backorder,2024-05-15 21:52:56.796016
80,270771620,available,backorder,2024-05-15 21:52:56.796016
81,272474227,available,backorder,2024-05-15 21:52:56.796016
82,248052660,available,backorder,2024-05-15 21:52:56.796016
83,273678387,available,backorder,2024-05-15 21:52:56.796016
84,57268501,available,backorder,2024-05-15 21:52:56.796016
85,98732914,available,backorder,2024-05-15 21:52:56.796016
86,108423866,available,backorder,2024-05-15 21:52:56.796016
87,57269938,available,backorder,2024-05-15 21:52:56.796016
88,262083816,available,backorder,2024-05-15 21:52:56.796016
89,201853988,available,backorder,2024-05-15 21:52:56.796016
90,75644952,available,backorder,2024-05-15 21:52:56.796016
91,188896580,available,backorder,2024-05-15 21:52:56.796016
92,252680403,available,backorder,2024-05-15 21:52:56.796016
93,252680559,available,backorder,2024-05-15 21:52:56.796016
94,72082905,available,backorder,2024-05-15 21:52:56.796016
95,69904929,available,backorder,2024-05-15 21:52:56.796016
96,169039064,available,backorder,2024-05-15 21:52:56.796016
97,125893668,available,backorder,2024-05-15 21:52:56.796016
98,129937282,available,backorder,2024-05-15 21:52:56.796016
99,44984825,available,backorder,2024-05-15 21:52:56.796016
100,274461881,available,backorder,2024-05-15 21:52:56.796016
101,252174854,available,backorder,2024-05-15 21:52:56.796016
102,48984949,available,backorder,2024-05-15 21:52:56.796016
103,273356088,available,backorder,2024-05-15 21:52:56.796016
104,262082497,available,backorder,2024-05-15 21:52:56.796016
105,271411861,available,backorder,2024-05-15 21:52:56.796016
106,271416950,available,backorder,2024-05-15 21:52:56.796016
107,77182076,available,backorder,2024-05-15 21:52:56.796016
108,263389345,available,backorder,2024-05-15 21:52:56.796016
109,274763756,available,backorder,2024-05-15 21:52:56.796016
110,59275108,available,backorder,2024-05-15 21:52:56.796016
111,458163,available,backorder,2024-05-15 21:52:56.796016
112,32753254,available,backorder,2024-05-15 21:52:56.796016
113,73937067,available,backorder,2024-05-15 21:52:56.796016
114,178713835,available,backorder,2024-05-15 21:52:56.796016
115,54686649,available,backorder,2024-05-15 21:52:56.796016
116,212945220,available,backorder,2024-05-15 21:52:56.796016
117,273054332,available,backorder,2024-05-15 21:52:56.796016
118,272840052,available,backorder,2024-05-15 21:52:56.796016
119,216450913,available,backorder,2024-05-15 21:52:56.796016
120,273791756,available,backorder,2024-05-15 21:52:56.796016
121,225208138,available,backorder,2024-05-15 21:52:56.796016
122,274849726,available,backorder,2024-05-15 21:52:56.796016
123,15507113,available,backorder,2024-05-15 21:52:56.796016
124,959553,available,backorder,2024-05-15 21:52:56.796016
125,22050384,available,backorder,2024-05-15 21:52:56.796016
126,30008379,available,backorder,2024-05-15 21:52:56.796016
127,188406988,available,backorder,2024-05-15 21:52:56.796016
128,196293197,available,backorder,2024-05-15 21:52:56.796016
129,186881737,available,backorder,2024-05-15 21:52:56.796016
130,174566339,available,backorder,2024-05-15 21:52:56.796016
131,48650731,available,backorder,2024-05-15 21:52:56.796016
132,188407008,available,backorder,2024-05-15 21:52:56.796016
133,86155648,available,backorder,2024-05-15 21:52:56.796016
134,193878779,available,backorder,2024-05-15 21:52:56.796016
135,270471019,available,backorder,2024-05-15 21:52:56.796016
136,216464925,available,backorder,2024-05-15 21:52:56.796016
137,216476612,available,backorder,2024-05-15 21:52:56.796016
138,270472217,available,backorder,2024-05-15 21:52:56.796016
139,273893759,available,backorder,2024-05-15 21:52:56.796016
140,270472601,available,backorder,2024-05-15 21:52:56.796016
