PricingID,ProductID,CurrentPrice,OriginalPrice,LastUpdated
1,189572223,10750000,10750000,2024-05-15 21:52:56.799030
2,189572199,10350000,10350000,2024-05-15 21:52:56.799030
3,263753733,16190000,21190000,2024-05-15 21:52:56.799030
4,273513557,14890000,18090000,2024-05-15 21:52:56.799030
5,272354928,9190000,11690000,2024-05-15 21:52:56.799030
6,272828018,25490000,25490000,2024-05-15 21:52:56.799030
7,252566338,15000000,15000000,2024-05-15 21:52:56.799030
8,252566514,15000000,15000000,2024-05-15 21:52:56.799030
9,270958179,17090000,20490000,2024-05-15 21:52:56.799030
10,273524532,13190000,15890000,2024-05-15 21:52:56.799030
11,273513559,16690000,21290000,2024-05-15 21:52:56.799030
12,222529881,11999000,19900000,2024-05-15 21:52:56.799030
13,225195503,16680000,16680000,2024-05-15 21:52:56.799030
14,272828266,12390000,15590000,2024-05-15 21:52:56.799030
15,225195387,16020000,16020000,2024-05-15 21:52:56.799030
16,273698446,25890000,37990000,2024-05-15 21:52:56.799030
17,273472177,14690000,18590000,2024-05-15 21:52:56.799030
18,272177760,16140000,18490000,2024-05-15 21:52:56.799030
19,274016468,12190000,16190000,2024-05-15 21:52:56.799030
20,274368447,12190000,15890000,2024-05-15 21:52:56.799030
21,273949286,16160000,22900000,2024-05-15 21:52:56.799030
22,273716533,14200000,18890000,2024-05-15 21:52:56.799030
23,273472091,9090000,11590000,2024-05-15 21:52:56.799030
24,247656002,18000000,18000000,2024-05-15 21:52:56.799030
25,272837816,15490000,18390000,2024-05-15 21:52:56.799030
26,160445997,16020000,16020000,2024-05-15 21:52:56.799030
27,272177964,18740000,20990000,2024-05-15 21:52:56.799030
28,247719163,14999000,20999000,2024-05-15 21:52:56.799030
29,272178565,18220000,20990000,2024-05-15 21:52:56.799030
30,274792349,28290000,36290000,2024-05-15 21:52:56.799030
31,274935091,30790000,39490000,2024-05-15 21:52:56.799030
32,274958665,25390000,32490000,2024-05-15 21:52:56.799030
33,274791956,16690000,21790000,2024-05-15 21:52:56.799030
34,274016489,17390000,23090000,2024-05-15 21:52:56.799030
35,274934516,26890000,34490000,2024-05-15 21:52:56.799030
36,273506176,19090000,22890000,2024-05-15 21:52:56.799030
37,274992907,17999000,22500000,2024-05-15 21:52:56.799030
38,274956099,10490000,14500000,2024-05-15 21:52:56.799030
39,274643985,16499000,22100000,2024-05-15 21:52:56.799030
40,158222541,7900000,7900000,2024-05-15 21:52:56.799030
41,263575487,3380000,3380000,2024-05-15 21:52:56.799030
42,274499417,4990000,4990000,2024-05-15 21:52:56.799030
43,274052520,2600000,2600000,2024-05-15 21:52:56.799030
44,270849806,2430000,2430000,2024-05-15 21:52:56.799030
45,273603553,2800000,2800000,2024-05-15 21:52:56.799030
46,193513631,4485000,4485000,2024-05-15 21:52:56.799030
47,252387297,2699000,2699000,2024-05-15 21:52:56.799030
48,205698763,2998000,2998000,2024-05-15 21:52:56.799030
49,157468943,10300000,10300000,2024-05-15 21:52:56.799030
50,177813851,11219000,11219000,2024-05-15 21:52:56.799030
51,222662600,17615000,17615000,2024-05-15 21:52:56.799030
52,220677323,14762000,14762000,2024-05-15 21:52:56.799030
53,273947683,4990000,4990000,2024-05-15 21:52:56.799030
