GeneralFeedbackID,OneStar,TwoStar,ThreeStar,FourStar,FiveStar,ReviewCount,LastUpdated
17849683,0,0,0,0,1,1,2024-05-15 22:34:25.140024
13866029,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15639461,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14351663,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14031170,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13771653,0,1,1,7,44,53,2024-05-15 22:34:25.140024
16717202,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15335047,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15237794,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13905196,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15723122,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15321209,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15326511,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15508646,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14514858,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14911345,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13673878,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15229134,0,1,1,7,44,53,2024-05-15 22:34:25.140024
16647199,0,1,1,7,44,53,2024-05-15 22:34:25.140024
16476509,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15689576,0,1,1,7,44,53,2024-05-15 22:34:25.140024
16226555,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14111394,0,1,1,7,44,53,2024-05-15 22:34:25.140024
16072569,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15996572,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14345909,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15880642,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15802420,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15798433,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15742170,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15725183,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15579728,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15584545,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15360878,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15139211,0,1,1,7,44,53,2024-05-15 22:34:25.140024
15121300,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14833938,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14780338,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14649354,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14313645,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14114514,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14100903,0,1,1,7,44,53,2024-05-15 22:34:25.140024
14054088,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13997937,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13689017,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13628121,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13363341,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13361704,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13285750,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13084992,0,1,1,7,44,53,2024-05-15 22:34:25.140024
13206060,0,1,1,7,44,53,2024-05-15 22:34:25.140024
12642730,0,1,1,7,44,53,2024-05-15 22:34:25.140024
12889238,0,1,1,7,44,53,2024-05-15 22:34:25.140024
12619669,0,1,1,7,44,53,2024-05-15 22:34:25.140024
18175882,0,0,0,0,2,2,2024-05-15 22:34:25.140024
17794494,0,0,0,0,2,2,2024-05-15 22:34:25.140024
17629418,0,0,0,0,2,2,2024-05-15 22:34:25.140024
16883243,0,0,0,0,2,2,2024-05-15 22:34:25.140024
13306659,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18362528,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18337529,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18305938,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18184652,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18179730,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18176091,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18091899,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18090946,0,0,0,0,11,11,2024-05-15 22:34:25.140024
18079166,0,0,0,0,11,11,2024-05-15 22:34:25.140024
15807496,0,0,0,0,11,11,2024-05-15 22:34:25.140024
17162679,0,0,0,0,4,4,2024-05-15 22:34:25.140024
17102699,0,0,0,0,4,4,2024-05-15 22:34:25.140024
18303338,0,0,0,0,4,4,2024-05-15 22:34:25.140024
17777083,0,0,0,0,4,4,2024-05-15 22:34:25.140024
19085432,0,0,0,0,1,1,2024-05-15 22:34:25.140024
18427556,0,0,0,0,1,1,2024-05-15 22:34:25.140024
18199159,0,0,0,0,2,2,2024-05-15 22:34:25.140024
16290711,0,0,0,0,2,2,2024-05-15 22:34:25.140024
18663808,0,0,0,0,1,1,2024-05-15 22:34:25.140024
19065776,0,0,0,0,1,1,2024-05-15 22:34:25.140024
18371708,1,0,0,0,0,1,2024-05-15 22:34:25.140024
19237315,0,0,0,0,1,1,2024-05-15 22:34:25.140024
19666432,0,0,0,0,3,3,2024-05-15 22:34:25.140024
19823169,0,0,0,0,3,3,2024-05-15 22:34:25.140024
19612015,0,0,0,0,3,3,2024-05-15 22:34:25.140024
19529855,0,0,0,0,1,1,2024-05-15 22:34:25.140024
19030848,0,0,0,1,0,1,2024-05-15 22:34:25.140024
17811195,1,0,0,1,12,14,2024-05-15 22:34:25.140024
13654548,1,0,0,1,12,14,2024-05-15 22:34:25.140024
15167917,1,0,0,1,12,14,2024-05-15 22:34:25.140024
12673167,1,0,0,1,12,14,2024-05-15 22:34:25.140024
12865455,1,0,0,1,12,14,2024-05-15 22:34:25.140024
15563126,1,0,0,1,12,14,2024-05-15 22:34:25.140024
15539149,1,0,0,1,12,14,2024-05-15 22:34:25.140024
14365203,1,0,0,1,12,14,2024-05-15 22:34:25.140024
14436724,1,0,0,1,12,14,2024-05-15 22:34:25.140024
12997016,1,0,0,1,12,14,2024-05-15 22:34:25.140024
12901904,1,0,0,1,12,14,2024-05-15 22:34:25.140024
12869608,1,0,0,1,12,14,2024-05-15 22:34:25.140024
12847355,1,0,0,1,12,14,2024-05-15 22:34:25.140024
12833256,1,0,0,1,12,14,2024-05-15 22:34:25.140024
18944927,0,0,0,0,1,1,2024-05-15 22:34:25.140024
19233512,0,0,0,0,1,1,2024-05-15 22:34:25.140024
19054468,0,0,0,0,1,1,2024-05-15 22:34:25.140024
19844933,0,0,0,0,4,4,2024-05-15 22:34:25.140024
19786077,0,0,0,0,4,4,2024-05-15 22:34:25.140024
19192166,0,0,0,0,4,4,2024-05-15 22:34:25.140024
18912006,0,0,0,0,4,4,2024-05-15 22:34:25.140024
10672823,0,0,0,0,2,2,2024-05-15 22:34:25.140024
13342852,0,0,0,0,2,2,2024-05-15 22:34:25.140024
15472692,0,0,0,1,2,3,2024-05-15 22:34:25.140024
14640931,0,0,0,1,2,3,2024-05-15 22:34:25.140024
3138737,0,0,0,1,2,3,2024-05-15 22:34:25.140024
5720212,0,0,1,0,0,1,2024-05-15 22:34:25.140024
19853697,0,0,0,0,1,1,2024-05-15 22:34:25.140024
12600789,0,0,0,1,3,4,2024-05-15 22:34:25.140024
12374255,0,0,0,1,3,4,2024-05-15 22:34:25.140024
14441263,0,0,0,1,3,4,2024-05-15 22:34:25.140024
13955827,0,0,0,1,3,4,2024-05-15 22:34:25.140024
19495486,0,0,0,0,2,2,2024-05-15 22:34:25.140024
19123138,0,0,0,0,2,2,2024-05-15 22:34:25.140024
19237317,0,0,0,0,1,1,2024-05-15 22:34:25.140024
19688652,0,0,0,1,0,1,2024-05-15 22:34:25.140024
19021409,0,0,0,0,1,1,2024-05-15 22:34:25.140024
19037770,0,0,0,0,1,1,2024-05-15 22:34:25.140024
