InventoryID,ProductID,Status,Type,LastUpdated
1,190725476,available,backorder,2024-05-15 22:34:25.131965
2,187188428,available,backorder,2024-05-15 22:34:25.131965
3,186984673,available,backorder,2024-05-15 22:34:25.131965
4,127377025,available,backorder,2024-05-15 22:34:25.131965
5,155530449,available,backorder,2024-05-15 22:34:25.131965
6,151839086,available,backorder,2024-05-15 22:34:25.131965
7,180396187,available,backorder,2024-05-15 22:34:25.131965
8,163871476,available,backorder,2024-05-15 22:34:25.131965
9,180396111,available,backorder,2024-05-15 22:34:25.131965
10,135268243,available,backorder,2024-05-15 22:34:25.131965
11,189466548,available,backorder,2024-05-15 22:34:25.131965
12,161225920,available,backorder,2024-05-15 22:34:25.131965
13,196907103,available,backorder,2024-05-15 22:34:25.131965
14,191694005,available,backorder,2024-05-15 22:34:25.131965
15,136940990,available,backorder,2024-05-15 22:34:25.131965
16,169264166,available,backorder,2024-05-15 22:34:25.131965
17,189365717,available,backorder,2024-05-15 22:34:25.131965
18,164397018,available,backorder,2024-05-15 22:34:25.131965
19,155530453,available,backorder,2024-05-15 22:34:25.131965
20,186434417,available,backorder,2024-05-15 22:34:25.131965
21,189696941,available,backorder,2024-05-15 22:34:25.131965
22,163871484,available,backorder,2024-05-15 22:34:25.131965
23,186985454,available,backorder,2024-05-15 22:34:25.131965
24,136951412,available,backorder,2024-05-15 22:34:25.131965
25,196911702,available,backorder,2024-05-15 22:34:25.131965
26,196906988,available,backorder,2024-05-15 22:34:25.131965
27,162188204,available,backorder,2024-05-15 22:34:25.131965
28,136975279,available,backorder,2024-05-15 22:34:25.131965
29,136979185,available,backorder,2024-05-15 22:34:25.131965
30,186479817,available,backorder,2024-05-15 22:34:25.131965
31,186479612,available,backorder,2024-05-15 22:34:25.131965
32,196909214,available,backorder,2024-05-15 22:34:25.131965
33,189698164,available,backorder,2024-05-15 22:34:25.131965
34,189466659,available,backorder,2024-05-15 22:34:25.131965
35,155974507,available,backorder,2024-05-15 22:34:25.131965
36,134496483,available,backorder,2024-05-15 22:34:25.131965
37,151676582,available,backorder,2024-05-15 22:34:25.131965
38,189697988,available,backorder,2024-05-15 22:34:25.131965
39,189696865,available,backorder,2024-05-15 22:34:25.131965
40,190725443,available,backorder,2024-05-15 22:34:25.131965
41,136983195,available,backorder,2024-05-15 22:34:25.131965
42,189696649,available,backorder,2024-05-15 22:34:25.131965
43,187196562,available,backorder,2024-05-15 22:34:25.131965
44,189700810,available,backorder,2024-05-15 22:34:25.131965
45,186434665,available,backorder,2024-05-15 22:34:25.131965
46,191726143,available,backorder,2024-05-15 22:34:25.131965
47,186635020,available,backorder,2024-05-15 22:34:25.131965
48,189696547,available,backorder,2024-05-15 22:34:25.131965
49,191717423,available,backorder,2024-05-15 22:34:25.131965
50,189700471,available,backorder,2024-05-15 22:34:25.131965
51,137127320,available,backorder,2024-05-15 22:34:25.131965
52,155530401,available,backorder,2024-05-15 22:34:25.131965
53,189700765,available,backorder,2024-05-15 22:34:25.131965
54,186633058,available,backorder,2024-05-15 22:34:25.131965
55,191723144,available,backorder,2024-05-15 22:34:25.131965
56,273486388,available,backorder,2024-05-15 22:34:25.131965
57,273531041,available,backorder,2024-05-15 22:34:25.131965
58,201509133,available,backorder,2024-05-15 22:34:25.131965
59,213818760,available,backorder,2024-05-15 22:34:25.131965
60,273602684,available,backorder,2024-05-15 22:34:25.131965
61,249160185,available,backorder,2024-05-15 22:34:25.131965
62,193125722,available,backorder,2024-05-15 22:34:25.131965
63,273464609,available,backorder,2024-05-15 22:34:25.131965
64,206136948,available,backorder,2024-05-15 22:34:25.131965
65,273587244,available,backorder,2024-05-15 22:34:25.131965
66,273379339,available,backorder,2024-05-15 22:34:25.131965
67,251546151,available,backorder,2024-05-15 22:34:25.131965
68,273463773,available,backorder,2024-05-15 22:34:25.131965
69,198984680,available,backorder,2024-05-15 22:34:25.131965
70,273456189,available,backorder,2024-05-15 22:34:25.131965
71,195891630,available,backorder,2024-05-15 22:34:25.131965
72,205305631,available,backorder,2024-05-15 22:34:25.131965
73,273519255,available,backorder,2024-05-15 22:34:25.131965
74,251547656,available,backorder,2024-05-15 22:34:25.131965
75,251545181,available,backorder,2024-05-15 22:34:25.131965
76,273532075,available,backorder,2024-05-15 22:34:25.131965
77,214615798,available,backorder,2024-05-15 22:34:25.131965
78,192729516,available,backorder,2024-05-15 22:34:25.131965
79,273645818,available,backorder,2024-05-15 22:34:25.131965
80,273520127,available,backorder,2024-05-15 22:34:25.131965
81,251546384,available,backorder,2024-05-15 22:34:25.131965
82,249085376,available,backorder,2024-05-15 22:34:25.131965
83,251547580,available,backorder,2024-05-15 22:34:25.131965
84,273537223,available,backorder,2024-05-15 22:34:25.131965
85,205996228,available,backorder,2024-05-15 22:34:25.131965
86,214615807,available,backorder,2024-05-15 22:34:25.131965
87,273664679,available,backorder,2024-05-15 22:34:25.131965
88,249033674,available,backorder,2024-05-15 22:34:25.131965
89,249136428,available,backorder,2024-05-15 22:34:25.131965
90,199104660,available,backorder,2024-05-15 22:34:25.131965
91,214615804,available,backorder,2024-05-15 22:34:25.131965
92,198592513,available,backorder,2024-05-15 22:34:25.131965
93,214593527,available,backorder,2024-05-15 22:34:25.131965
94,210941880,available,backorder,2024-05-15 22:34:25.131965
95,210941889,available,backorder,2024-05-15 22:34:25.131965
96,198592225,available,backorder,2024-05-15 22:34:25.131965
97,214619356,available,backorder,2024-05-15 22:34:25.131965
98,225917288,available,backorder,2024-05-15 22:34:25.131965
99,225226354,available,backorder,2024-05-15 22:34:25.131965
100,214615797,available,backorder,2024-05-15 22:34:25.131965
101,248542157,available,backorder,2024-05-15 22:34:25.131965
102,251545298,available,backorder,2024-05-15 22:34:25.131965
