PricingID,ProductID,CurrentPrice,OriginalPrice,LastUpdated
1,184036446,9990000,15999000,2024-05-15 16:32:22.234969
2,184059211,13490000,24990000,2024-05-15 16:32:22.234969
3,123345348,11990000,16990000,2024-05-15 16:32:22.234969
4,197214029,16490000,24990000,2024-05-15 16:32:22.234969
5,271966786,18990000,21490000,2024-05-15 16:32:22.234969
6,197214015,19490000,27990000,2024-05-15 16:32:22.234969
7,271973414,29490000,33490000,2024-05-15 16:32:22.234969
8,271967379,21990000,25990000,2024-05-15 16:32:22.234969
9,271972435,24490000,27990000,2024-05-15 16:32:22.234969
10,183330021,6990000,10990000,2024-05-15 16:32:22.234969
11,184253251,13990000,18990000,2024-05-15 16:32:22.234969
12,205815576,9990000,10990000,2024-05-15 16:32:22.234969
13,124742926,17990000,24990000,2024-05-15 16:32:22.234969
14,273556624,48990000,49900000,2024-05-15 16:32:22.234969
15,274798915,27990000,29990000,2024-05-15 16:32:22.234969
