Type_ID,Type_Name,Child_ID,Child_Name,Parent_ID,Parent_Name,Group_ID,Group_Name
625.0,Architecture,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
5770.0,Graphic Design,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
626.0,"Religion, Culture",623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
9423.0,Photography,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
112.0,Decorative Arts & Design,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
97.0,Other Arts,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18358.0,Drawing & Painting,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18360.0,Fashion,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18362.0,History - Criticism,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18364.0,Sculpture,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
126.0,Music,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
101.0,Performing Arts,623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18366.0,"Collections, Catalogs & Exhibitions",623.0,Art & Photography,320,English Books,8322,Nhà Sách Tiki
201.0,Business Leaders,27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
203.0,Celebrities & Famous People,27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
205.0,Family & Childhood,27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
202.0,"Historical, Political & Military",27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
204.0,Autobiography & Memoirs,27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
181.0,Travelers & Explorers,27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
15658.0,Arts & Literature,27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
15660.0,True Crime,27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
18368.0,Sports & Outdoor,27.0,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
47.0,Finance,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
15410.0,Economics,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
20.0,Investment and Entrepreneurship,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
50.0,Job - Career,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
13.0,Management - Leadership,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
43.0,Marketing - Sales,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
59.0,Personal Finance,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
9882.0,Processes & Infrastructure,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
56.0,Skills,4.0,Business & Economics,320,English Books,8322,Nhà Sách Tiki
9900.0,Communication & Social Skills,614.0,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
