Item_ID,Item_Name
556550,Bikes Of Burden - Hardcover
538480,Yes Is More
273596505,Artbook - Sách Tiếng Anh - Andrew Martin Interior Design Review Vol.25
102405605,Ando: Complete Works 1975-Today
138490437,Cabins
193345814,Artbook - Sách Tiếng Anh - Small Architecture
193419134,Artbook - Sách Tiếng Anh - Case Study Houses
177928339,Artbook - Sách Tiếng Anh - From Palm Beach to Shangri La
111186649,Small Medium Houses 3
155751041,Artbook - Sách Tiếng Anh - Frank Lloyd Wright
499002,25 Tropical Houses In Singapore And Malaysia - Paperback
104108675,Architecture in Wood : A World History
161395889,Thailand: Architecture in Steel 4
138191757,Thailand Architecture In Steel 6
138070422,Concrete Houses 
161395675,Thailand: Architecture in Steel 5
137854327,Bricks Now & Then
193451334,Artbook - Sách Tiếng Anh - Zaha Hadid: Complete Works 1979–Today
106515028,Blurring Boundaries
84574505,Facade-Shop : Selection of Most Successful Storefront Idea for Retail
193501114,"The Finer Things : Timeless Furniture, Textiles, and Details"
84574835, Seaside Living: 50 Remarkable Houses
193294534,Ai Weiwei: Spatial Matters - Art Architecture and Activism
137944437,High On… Office Design
272731553,Homes for Our Time. Contemporary Houses around the World. Vol. 2
97887555,Eat Live Work
138209293,Thailand Architecture In Steel 7
138215955,Beyond Context
137943505,Gaudí. The Complete Works
138189586,Path of Discovery
99399287,Neo-Classical Art in Hotels
138152401,The Landscape Architecture of Paul Sangha
104845944," Stack, Cut, Assemble ISO 668 : How to use shipping containers in architecture"
84591796,Zaha Hadid Architects : Redefining Architecture and Design
138173614,Neutra: Complete Works 
498823,Chinese Houses Of Southeast Asia - Paperback
272654254,Construction and Design Manual: Competition Panels and Diagrams
273637775,Artbook - Sách Tiếng Anh -  Detail Plus+ : Interior+Architecture II
273638202,Artbook - Sách Tiếng Anh - Detail Plus - Interior + Architecture Vol. 3
193334799,Contemporary Thai
270372445,Artbook - Sách Tiếng Anh - The Spanish Style House: From Enchanted Andalusia to the California Dream
101969606,Casa Tropical: Houses by Jacobsen Arquitetura
215263957,Thai Modern Interior 01
111176973,Small Medium Houses 6
270394936,Artbook - Sách Tiếng Anh - Workstead: Interiors of Beauty and Necessity
274118688,Inspired Homes : New Direction In Residential Homes
274118680,Interior One
249577877,Artbook - Sách Tiếng Anh - Andrew Martin Interior Design Review : Vol. 24
212356426,China Style
273310501,Extreme Economies
97888529,The Elements of Modern Architecture
85095903,Sign of Street II : Global Collection of the Most Stylish Street Signage Design
273839682,Artbook - Sách Tiếng Anh - Skylab: The Nature of Buildings
205850315,Bauhaus
203464653,Southern Vietnamese Modernist Architecture (Tái bản)
274118686,2022 Annual Interior Detail Vol.35
273596438,Artbook - Sách Tiếng Anh - A+PLUS - Small Competition & Project. No 1
273638978,Artbook - Sách Tiếng Anh - Detail Plus - Interior + Architecture Vol. 6
158468276,Houses By Thai Architects (Vol 4): Contextual Modernism
496238,Kyoto Garadens
193370615,1000 Architectural Details
138219934,David Black: Urban Sculpture as Proto-Architecture
103381186,BEDMaR & Shi In The Tropics
263440241,Artbook - Sách Tiếng Anh - 13 Ways of Looking at a House
85096818,Frank Repas Architecture
274098378,Beata Heuman: Every Room Should Sing
249577389,Artbook - Sách Tiếng Anh - Living in Bali. 40th Ed.
274118678,Modern Japanese Gardens
138066667,The Complete Zaha Hadid 
273304098,"Architecture 101: From Frank Gehry to Ziggurats, an Essential Guide to Building Styles and Materials"
111184548,Small Medium Houses 4
274082775,Artbook - Sách Tiếng Anh - domus 1928–1939
138066477,Architecture: The Whole Story
270306651,Artbook - Sách Tiếng Anh - Scott Mitchell Houses
205849067,Artbook - Sách Tiếng Anh - Piranesi. The Complete Etchings
215224544,Artbook - Sách Tiếng Anh - Black Architecture
217317988,Cockroaches
137854853,High On … Modern Villas
274118682,Architecture & Design Competition 1:
273597344,Artbook - Sách Tiếng Anh - Art = : Discovering Infinite Connections in Art History
149366329,Artbook - Sách Tiếng Anh - IDIN Architects: Integrating Design Into Nature
193367133,Artbook - Sách Tiếng Anh - Living in Mexico
249780667,Exploring Bangkok: An Architectural and Historical Guidebook
85092128, New Space-Office II
209399948,Sign of Office : Global Collection of the Most Stylish Office Signage Design
111176544,Small Medium Architecture
272384702,Artbook - Sách Tiếng Anh - Piano Complete Works 1966-Today
270243092,A Beginner's Guide to House Plants: Creating Beautiful and Healthy Green Spaces in Your Home
115935597,Flying Home Level ES
55286902,Notre-Dame: A Short History Of The Meaning Of Cathedrals
273640803,Artbook - Sách Tiếng Anh - New Office Design
273640731,Artbook - Sách Tiếng Anh - New Clinic Design
273638434,Artbook - Sách Tiếng Anh - Detail Plus - Interior + Architecture Vol. 4
274082777,Artbook - Sách Tiếng Anh - domus 1960–1969
271543905,Engineers : From the Great Pyramids to Spacecraft
270375854,Artbook - Sách Tiếng Anh - Under the Sun: Around the World in 21 Houses
270373880,Artbook - Sách Tiếng Anh - Rooms: Steven Volpe
274118692,A Lyric Architecture : Selected Works Of John Malick & Associates
271294876,Architecture Asia: Living In The 21St Century
118329091,Ando: Complete Works 1975-Today
137527523,Green Architecture
273839744,Artbook - Sách Tiếng Anh - Outdoor Interiors: Bringing Style to Your Garden
273640987,Artbook - Sách Tiếng Anh - Small Restaurant Design
274082773,Artbook - Sách Tiếng Anh - domus 1950–1959
205737564,Artbook - Sách Tiếng Anh - Koolhaas/Obrist. Project Japan. Metabolism Talks
97886648,Going Green with Vertical Landscapes
270206155,Artbook - Sách Tiếng Anh - Universal Design Studio: Inside Out
111183220,Small Medium Houses 5
270245741,Houses and Gardens of Kyoto: Revised with a new foreword
205840324,Artbook - Sách Tiếng Anh - Tree Houses. Fairy-Tale Castles in the Air
274118676,Architecture & Design Competition 4:
274118674,"Architecture & Design Competition 2: Culture, Housing"
137528501,Homes For Our Time
85084769, Office Design: No. 1 : Most Innovative and Newest Office Interiors Design
273641325,Artbook - Sách Tiếng Anh - Small Café & Shop
106514929,Terrace Transformations in the Tropics
111176886,The Go-Between Level 4
273637349,Artbook - Sách Tiếng Anh - Detail Plus - Interior + Architecture Vol. 1
273638684,Artbook - Sách Tiếng Anh - Detail Plus+ : Interior+Architecture V
273596906,Artbook - Sách Tiếng Anh - A+PLUS - Small Competition & Project. No 2
273597246,Artbook - Sách Tiếng Anh - Ithra: A Home for the World
274082689,Artbook - Sách Tiếng Anh - domus 1970–1979
97888711,Tree Houses : Escape to the Canopy
97822880,Infinity House : An Endless View
249578882,Modern Tropical : Houses in the Sun
97825913,Kengo Kuma : Complete Works
158405553,Detail vol 8: Bathroom (2nd Printing)
84624627,Japanese Residence
274118672,Architecture & Design Competition 3:
274098422,Design Remix
274118690,2022 Annual Interior Detail Vol.36
263101507,CA (Contemporary Architecture) No.1
167675350,The Golden Seal Level 1
