Parent ID,Parent Name,Group_ID,Group_Name
320,English Books,8322,Nhà Sách Tiki
316,Sách tiếng Việt,8322,Nhà Sách Tiki
7741,Văn phòng phẩm,8322,Nhà Sách Tiki
18328,Quà lưu niệm,8322,Nhà Sách Tiki
1951,Dụng cụ nhà bếp,1883,Nhà Cửa - Đời Sống
1954,Đồ dùng phòng ăn,1883,Nhà Cửa - Đời Sống
8313,Đồ dùng phòng ngủ,1883,Nhà Cửa - Đời Sống
2150,Nội thất,1883,Nhà Cửa - Đời Sống
1973,Trang trí nhà cửa,1883,Nhà Cửa - Đời Sống
2015,Đèn & thiết bị chiếu sáng,1883,Nhà Cửa - Đời Sống
2223,Ngoài trời & sân vườn,1883,Nhà Cửa - Đời Sống
1966,Đồ dùng và thiết bị nhà tắm,1883,Nhà Cửa - Đời Sống
1974,Sửa chữa nhà cửa,1883,Nhà Cửa - Đời Sống
10068,Nhạc cụ,1883,Nhà Cửa - Đời Sống
23054,Đồ thờ cúng,1883,Nhà Cửa - Đời Sống
1795,Điện thoại Smartphone,1789,Điện Thoại - Máy Tính Bảng
1794,Máy tính bảng,1789,Điện Thoại - Máy Tính Bảng
28856,Máy đọc sách,1789,Điện Thoại - Máy Tính Bảng
1796,Điện thoại phổ thông,1789,Điện Thoại - Máy Tính Bảng
8061,Điện thoại bàn,1789,Điện Thoại - Máy Tính Bảng
2551,"Tã, Bỉm",2549,Đồ Chơi - Mẹ & Bé
8339,Dinh dưỡng cho bé,2549,Đồ Chơi - Mẹ & Bé
6568,Thực phẩm ăn dặm,2549,Đồ Chơi - Mẹ & Bé
10416,Dinh dưỡng cho mẹ,2549,Đồ Chơi - Mẹ & Bé
10418,Dinh dưỡng cho người lớn,2549,Đồ Chơi - Mẹ & Bé
11601,Đồ dùng cho bé,2549,Đồ Chơi - Mẹ & Bé
5250,Đồ chơi,2549,Đồ Chơi - Mẹ & Bé
2640,"Chăm sóc mẹ mang thai, sau sinh",2549,Đồ Chơi - Mẹ & Bé
10570,Chuẩn bị mang thai,2549,Đồ Chơi - Mẹ & Bé
15078,Chăm sóc nhà cửa,2549,Đồ Chơi - Mẹ & Bé
11603,Thời Trang Cho Mẹ Và Bé,2549,Đồ Chơi - Mẹ & Bé
8215,Thiết Bị Âm Thanh và Phụ Kiện,1815,Thiết Bị Số - Phụ Kiện Số
2667,Thiết Bị Chơi Game và Phụ Kiện,1815,Thiết Bị Số - Phụ Kiện Số
8039,Thiết Bị Đeo Thông Minh và Phụ Kiện,1815,Thiết Bị Số - Phụ Kiện Số
28432,Thiết Bị Thông Minh và Linh Kiện Điện Tử,1815,Thiết Bị Số - Phụ Kiện Số
8214,Phụ Kiện Điện Thoại và Máy Tính Bảng,1815,Thiết Bị Số - Phụ Kiện Số
28670,Phụ kiện máy tính và Laptop,1815,Thiết Bị Số - Phụ Kiện Số
1884,Đồ dùng nhà bếp,1882,Điện Gia Dụng
1946,Thiết bị gia đình,1882,Điện Gia Dụng
1582,Chăm sóc da mặt,1520,Làm Đẹp - Sức Khỏe
1584,Trang điểm ,1520,Làm Đẹp - Sức Khỏe
1594,Chăm sóc cá nhân,1520,Làm Đẹp - Sức Khỏe
1592,Chăm sóc cơ thể,1520,Làm Đẹp - Sức Khỏe
5873,Sản phẩm thiên nhiên & Khác,1520,Làm Đẹp - Sức Khỏe
1591,Chăm sóc tóc và da đầu,1520,Làm Đẹp - Sức Khỏe
1595,Nước hoa,1520,Làm Đẹp - Sức Khỏe
2306,Dụng cụ làm đẹp,1520,Làm Đẹp - Sức Khỏe
2307,Máy Massage & Thiết bị chăm sóc sức khỏe,1520,Làm Đẹp - Sức Khỏe
2322,Thực phẩm chức năng,1520,Làm Đẹp - Sức Khỏe
8142,Hỗ trợ tình dục,1520,Làm Đẹp - Sức Khỏe
8597,Xe máy,8594,Ô Tô - Xe Máy - Xe Đạp
6070,Xe điện,8594,Ô Tô - Xe Máy - Xe Đạp
8431,Xe đạp,8594,Ô Tô - Xe Máy - Xe Đạp
8595,Ô tô,8594,Ô Tô - Xe Máy - Xe Đạp
24832,Phụ kiện - Chăm sóc xe,8594,Ô Tô - Xe Máy - Xe Đạp
17208,"Dịch vụ, lắp đặt",8594,Ô Tô - Xe Máy - Xe Đạp
1698,Áo nữ,931,Thời trang nữ
941,Đầm nữ,931,Thời trang nữ
5404,Chân váy,931,Thời trang nữ
27600,Quần nữ,931,Thời trang nữ
936,Áo khoác nữ,931,Thời trang nữ
1702,Áo liền quần - Bộ trang phục,931,Thời trang nữ
4553,Đồ đôi - Đồ gia đình,931,Thời trang nữ
49372,Thời trang bầu và sau sinh,931,Thời trang nữ
49384,Thời trang trung niên,931,Thời trang nữ
4554,Đồ lót nữ,931,Thời trang nữ
1508,Đồ ngủ - Đồ mặc nhà nữ,931,Thời trang nữ
6179,Trang phục bơi nữ,931,Thời trang nữ
4421,Đồ Ăn Vặt,4384,Bách Hóa Online
15074,Thực phẩm Đóng hộp và Khô,4384,Bách Hóa Online
24024,Đồ Uống Không Cồn,4384,Bách Hóa Online
4422,Gia Vị và Chế Biến,4384,Bách Hóa Online
5451,Chăm sóc thú cưng,4384,Bách Hóa Online
11347,Bộ quà tặng,4384,Bách Hóa Online
22998,Đồ uống - Pha chế dạng bột,4384,Bách Hóa Online
53562,Sữa và các Sản phẩm từ sữa,4384,Bách Hóa Online
