Type_ID,Type_Name,Child_ID,Child_Name,Parent_ID,Parent_Name,Group_ID,Group_Name
625,Architecture,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
5770,Graphic Design,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
626,"Religion, Culture",623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
9423,Photography,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
112,Decorative Arts & Design,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
97,Other Arts,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18358,Drawing & Painting,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18360,Fashion,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18362,History - Criticism,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18364,Sculpture,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
126,Music,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
101,Performing Arts,623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
18366,"Collections, Catalogs & Exhibitions",623,Art & Photography,320,English Books,8322,Nhà Sách Tiki
201,Business Leaders,27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
203,Celebrities & Famous People,27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
205,Family & Childhood,27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
202,"Historical, Political & Military",27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
204,Autobiography & Memoirs,27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
181,Travelers & Explorers,27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
15658,Arts & Literature,27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
15660,True Crime,27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
18368,Sports & Outdoor,27,Biographies & Memoirs,320,English Books,8322,Nhà Sách Tiki
47,Finance,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
15410,Economics,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
20,Investment and Entrepreneurship,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
50,Job - Career,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
13,Management - Leadership,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
43,Marketing - Sales,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
59,Personal Finance,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
9882,Processes & Infrastructure,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
56,Skills,4,Business & Economics,320,English Books,8322,Nhà Sách Tiki
9900,Communication & Social Skills,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
334,Creativity,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
10999,Emotions,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
9902,Motivational,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
247,Personal Improvement,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
10998,Relationship,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
248,Religion - Spirituality,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
9899,Stress Management,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
249,Success,614,How-to - Self Help,320,English Books,8322,Nhà Sách Tiki
80,Baby - Toddler,7,Children's Books,320,English Books,8322,Nhà Sách Tiki
9885,"Colouring, Sticker & Activity",7,Children's Books,320,English Books,8322,Nhà Sách Tiki
11020,Early Learning,7,Children's Books,320,English Books,8322,Nhà Sách Tiki
11019,Education & Reference,7,Children's Books,320,English Books,8322,Nhà Sách Tiki
11018,Picture & Storybooks,7,Children's Books,320,English Books,8322,Nhà Sách Tiki
9896,"Science, Nature & How It Works",7,Children's Books,320,English Books,8322,Nhà Sách Tiki
9897,Growing Up & Facts of Life,7,Children's Books,320,English Books,8322,Nhà Sách Tiki
11014,"History, Geography & Cultures",7,Children's Books,320,English Books,8322,Nhà Sách Tiki
11015,Literature & Fiction,7,Children's Books,320,English Books,8322,Nhà Sách Tiki
14810,Series Books,7,Children's Books,320,English Books,8322,Nhà Sách Tiki
14864,English Language Dictionary,282,Dictionary,320,English Books,8322,Nhà Sách Tiki
14866,Bilingual Dictionary,282,Dictionary,320,English Books,8322,Nhà Sách Tiki
14652,Children's & School Dictionary,282,Dictionary,320,English Books,8322,Nhà Sách Tiki
14870,Teaching - Learning,5308,Education - Teaching,320,English Books,8322,Nhà Sách Tiki
14872,ELTs,5308,Education - Teaching,320,English Books,8322,Nhà Sách Tiki
14896,"Grammar, vocabulary & skills",5308,Education - Teaching,320,English Books,8322,Nhà Sách Tiki
14898,Graded Readers,5308,Education - Teaching,320,English Books,8322,Nhà Sách Tiki
14900,Test Preparation,5308,Education - Teaching,320,English Books,8322,Nhà Sách Tiki
142,Children's Action & Adventure,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
139,Classic,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
140,Contemporary,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
10997,Dramas & Plays,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
141,Historical Fiction,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
73,Humor & Satire,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
10996,Literary,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
8,"Mystery, Thriller & Suspense",9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
9864,Mythology & Folk Tales,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
9422,Romance,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
10995,Short Stories & Anthologies,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
145,Poetry,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
14920,Comics & Graphic Novels,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
14922,Women's Fiction,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
11016,Science Fiction & Fantasy,9,Fiction - Literature,320,English Books,8322,Nhà Sách Tiki
178,Marriage & Adult Relationships,28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
9911,"Babysitting, Day Care & Child Care",28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
209,Parenting,28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
9910,Family Relationships,28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
211,Family Health & Relationship,28,Parenting & Relationships,320,English Books,8322,Nhà Sách Tiki
193,Crafts & Hobbies,5309,Reference,320,English Books,8322,Nhà Sách Tiki
11027,"Health, Fitness & Sports",5309,Reference,320,English Books,8322,Nhà Sách Tiki
11026,Home Living,5309,Reference,320,English Books,8322,Nhà Sách Tiki
162,Psychology,5309,Reference,320,English Books,8322,Nhà Sách Tiki
29,Professions,5309,Reference,320,English Books,8322,Nhà Sách Tiki
15714,Atlases - Encyclopedia,5309,Reference,320,English Books,8322,Nhà Sách Tiki
15716,Gardening,5309,Reference,320,English Books,8322,Nhà Sách Tiki
11031,Astronomy & Space Science,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
242,Agriculture & Forestry,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11032,Environment,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11034,Mathematics,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11035,Nature & Ecology,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11028,Human & Biology Science,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
10,Internet - Computers,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
24732,Others,269,Science - Technology,320,English Books,8322,Nhà Sách Tiki
11021,Anthropology,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11022,Philosophy,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11023,Politics & Current Affairs,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11024,Social Sciences,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
11025,Sociology,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
24,History,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
158,Religion and Spirituality,632,"History, Politics & Social Sciences",320,English Books,8322,Nhà Sách Tiki
273,Europe,32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
276,Vietnam,32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
275,Guidebook series,32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
14924,Discovery & Exploration,32,Travel & Holiday,320,English Books,8322,Nhà Sách Tiki
